Palavra,Significado
"significado","Sentido de uma palavra, termo, frase; sentido, conceito."
"imprescindível","Que não se pode dispensar nem renunciar; que é extremamente necessário ou essencial para; indispensável, essencial: o pandeiro é imprescindível para um bom samba."
"perseverança","Qualidade da pessoa persistente, de quem não desiste nunca: conseguiu o trabalho pelo seu excesso de perseverança."
"empatia","Capacidade de se colocar no lugar de outra pessoa, buscando agir ou pensar da forma como ela pensaria ou agiria; compreensão: demonstrou empatia ao ouvir os problemas de sua mãe."
"inerente","Característico ou próprio de alguém ou de alguma coisa; concernente, referente."
"dicionário","Compilação que contém as palavras de uma língua, apresentando seu significado, utilização, etimologia, sinônimos, antônimos ou com a tradução para outra língua: dicionário de português; dicionário de português-inglês."
"perspicaz","Que entende com facilidade o que a maioria das pessoas acha difícil perceber; inteligente, sagaz, astuto: aluno perspicaz."
"amor","Sentimento apaixonado por outra pessoa: sinto amor por você."
"peculiar","Característico de alguém ou a algo; que faz parte da constituição ou da natureza dessa pessoa ou coisa; específico, típico, individual: ele sempre teve um comportamento muito peculiar."
"perspectiva","Modo através do qual alguma coisa é representada ou vista: na perspectiva dos capitalistas, o comunismo é desastroso."
"denegrir","Tornar escuro, com aspecto obscuro, sem brilho; obscurecer: a sujeira denegria os móveis."
"respeito","Sentimento que impede uma pessoa de tratar alguém mal, de ser malcriada ou de agir com falta de consideração na maneira como se comporta com os outros; estima, afeição, consideração, reverência."
"embuste","Mentira que, estando repleta de astúcia, é usada com o intuito de enganar ou prejudicar uma outra pessoa; logro, engodo, cilada, emboscada."
"genocida","Pessoa que ordena ou é responsável pelo extermínio de muitas pessoas em pouco tempo."
"condescendente","Qualidade da pessoa que é incapaz de se impor, que aceita os sentimentos ou os desejos de alguém; permissivo."
"cônjuge","Pessoa que está casada com outra: ela é meu cônjuge e ele é meu cônjuge."
"recíproco","Que ocorre em troca de algo semelhante; mútuo: para mim, seus elogios e afagos eram recíprocos."
"resiliência","Característica dos corpos que, após sofrerem alguma deformação ou choque, voltam à sua forma original; elasticidade."
"prescindir","Não precisar de; dispensar: prescindia de conselhos; prescindiam do auxílio dos mais experientes."
"exceção","Algo ou alguém excluído da maioria, que não pertence ao todo: todos chegaram com exceção do filho."
"reciprocidade","Estado de recíproco, do que se realiza ao mesmo tempo que outra coisa; mutualidade: acordos de cooperação estabelecem uma relação de reciprocidade entre países."
"intrínseco","Que faz parte da essência de alguém; inerente: a inteligência é intrínseca ao ser humano."
"presunçoso","Sujeito vaidoso, que tem uma opinião excessivamente boa, positiva e elevada sobre si mesmo; pretensioso: o autor é um presunçoso em termos culturais."
"exceto","Que não faz parte do todo ou de modo a excluir algo ou alguém que não pertence à maioria; menos: era meu amigo, exceto quando estava triste; as atletas participarão, exceto as gravidas."
"efêmero","De curta duração, que é breve, transitório: sucesso efêmero."
"anuência","Aprovação para a realização de algo; permissão."
"cínico","Que expressa cinismo, desprezo pelas normas sociais ou pela moral vigente; imoral."
"prolixo","Que usa palavras em excesso; que não consegue resumir uma ideia nem encurtar um pensamento: jornalista prolixo."
"dissimulado","Pessoa que oculta seus reais sentimentos ou intenções; fingido, falso, hipócrita: pessoa dissimulada."
"diligência","Zelo, cuidado e aplicação na realização de algo: tratou o doente com diligência."
"impressão","Reprodução em papel de textos ou imagens, com auxílio de impressoras ou máquinas gráficas: impressão de documento."
"concessão","Ação ou efeito de conceder, de tornar disponível, de colocar à disposição; consentimento, permissão."
"caráter","Formação moral; honestidade: pessoa de caráter."
"deferido","Que obteve deferimento; que recebeu permissão, autorização; autorizado, concedido: requerimento deferido."
"corroborar","Confirmar a existência ou a verdade de; dar provas de; comprovar: corroborar declarações alheias; dados que corroboram um estudo quantitativo."
"condolências","Pêsames oferecidos a alguém pela morte de um ente querido ou por algum sofrimento que esta pessoa esteja passando; pêsames, sentimentos: envio minhas sinceras condolências neste momento difícil."
"fato","Acontecimento acabado; evento, ocorrência: a fiscalização das barracas ilegais é agora um fato."
"intempérie","Mau tempo ou quaisquer condições climáticas intensas (vento forte, chuva torrencial, tempestade, furacão, seca, vendaval): a colheita foi prejudicada pela chuva e por outras intempéries climáticas."
"idôneo","Considerado moralmente certo; honesto, íntegro."
"contemporâneo","Na mesma época; do mesmo tempo; que habitou ou teve seu início na mesma época que outra coisa ou pessoa: Rui Barbosa é um autor contemporâneo de Machado de Assis."
"verbete","Palavra de dicionário, enciclopédia ou glossário; vocábulo, palavra."
"remanescente","Que remanesce, sobra ou resta; restante, excedente: água remanescente da enchente."
"supérfluo","O que é dispensável, que apresenta caráter desnecessário; dispensável: o supérfluo de uma relação."
"escrúpulo","Essência moral; caráter virtuoso: sempre se comporta com escrúpulo."
"sagaz","Que possui sagacidade, perspicácia, da pessoa que tem muita facilidade para compreender algo que a maioria acha complicado entender; esperteza; perspicaz: crítica sagaz."
"prudente","Que expressa prudência; com precaução e sensatez; cauteloso."
"equidade","Característica de algo ou alguém que revela senso de justiça, que julga de maneira imparcial, isenta e neutra, sem tomar partidos; imparcialidade: duvidou da equidade das eleições."
"idílico","Que se refere a idílio; de caráter idílio; pastoril, puro, bucólico."
"detrimento","Estrago material ou moral; perda, dano, prejuízo."
"âmbito","Campo de atuação; domínio, área, linha: âmbito jurídico."
"retificar","Tornar reto; alinhar: retificar o traçado de uma estrada."
"paradigma","Exemplo ou padrão a ser seguido; modelo: ir à igreja aos domingos é um dos paradigmas associados ao cristianismo."
"análogo","Que é parecido ou que se parece com outra coisa ou pessoa; semelhante, idêntico."
"genuíno","Que não sofreu alterações nem falsificações; verdadeiro."
"presunção","Opinião muito boa que alguém tem sobre si mesmo; arrogância."
"pandemia","Epidemia que se dissemina por toda uma região; extensão de uma epidemia a todo um continente, a todo o globo terrestre."
"prerrogativa","Privilégio ou vantagem que algumas pessoas possuem por pertencerem a determinada classe, que faz com que elas sejam tratadas de maneira diferente das demais; privilégio."
"concepção","Ação de gerar ou de ser gerado, através da junção de um espermatozoide com um óvulo; fecundação."
"iminente","Que pode acontecer num momento muito próximo."
"dicotomia","Oposição entre duas coisas, geralmente entre dois conceitos: o bem e o mal são uma dicotomia amplamente discutida."
"vicissitude","Sequência de mudanças ou transformações; variação."
"essência","A própria existência; o que constitui a natureza de um ser, de uma coisa: essência humana."
"implícito","Que não está dito, mas pode ser percebido com facilidade; subentendido."
"parcimônia","Modo de se comportar comedido, calmo, sóbrio; sobriedade: usei de parcimônia para tentar evitar conflitos."
"propósito","O que se quer fazer, realizar; plano, intuito, alvo: tinha como propósito mudar de cidade."
"extrovertido","Que se comunica com facilidade por ser muito expansivo;  divertido, caloroso, sociável: pessoa extrovertida."
"invasivo","Relativo à invasão, à entrada violenta de algo em algum lugar."
"hipócrita","Quem finge ter uma opinião que não tem, uma personalidade que não possui, normalmente buscando esconder sua verdadeira forma de pensar e de agir; dissimulado."
"estória","Texto popular; narrativa tradicional: estória infantil."
"sublime","Cujas qualidades ultrapassam o comum; magnífico: fez um trabalho sublime."
"néscio","Característica de quem não possui conhecimento, capacidade, sentido ou coerência."
"plenitude","Condição de pleno, daquilo que está completo, inteiro, sem espaço."
"viés","Que tende a seguir certo caminho ou a agir de determinada maneira; tendência: a bolsa de valores apresentou um viés negativo."
"ratificar","Confirmar um ato ou compromisso; validar: a testemunha será ouvida para ratificar as acusações; o juiz ratificou sua decisão à Corte."
"essencial","O que é imprescindível; muito necessário; fundamental."
"mister","Ser essencial; fundamental: é mister o combate à pobreza."
"desgraça","Perda das graças, das boas relações que se tem com alguém; desfavor."
"hegemonia","Poder que algo ou alguém exerce em relação aos demais; supremacia, domínio: a Ferrari busca a hegemonia mundial no automobilismo."
"índole","Modo próprio e particular de ser; caráter: pessoa de boa índole."
"alienado","Que foi alvo de transferência, vendido ou cedido: carro alienado, bens alienados."
"complacência","Tendência usual para concordar com outra pessoa, buscando agradá-la ou tentando ser agradável."
"eminente","Que se sobressai, se destaca pela excelência ou pela superioridade; excelente: a organização do colóquio deu razão ao eminente historiador."
"corolário","Situação que ocorre a partir de outras; resultado: o corolário desse benefício fiscal será o aumento de impostos."
"referência","Ação ou efeito de referir, de contar, narrar por palavras."
"extensão","Ação ou efeito de estender, de ampliar, de aumentar o desenvolvimento ou o tamanho de algo; ampliação, prolongamento: extensão de cílios."
"âmago","O que se encontra situado no centro de; eixo, centro."
"negro","Cor escura que se assemelha à cor do carvão: o negro do asfalto."
"pêsames","Manifestação de pesar, de tristeza: mensagem de pêsames."
"inconveniente","Que não se adequa; de teor impróprio; inadequado: argumento inconveniente; comentário inconveniente."
"vereda","Caminho apertado ou sem espaço; sendeiro."
"peremptório","Que perime, causa o fim de algo; terminante."
"abstrato","Que não é concreto nem real; que não tem existência como objeto, como coisa, como realidade palpável; irreal."
"contundente","Que não admite contestação, dúvida; sobre o que não se pode duvidar; categórico: o réu apresentou provas contundentes e foi absolvido."
"inspiração","Ação ou efeito de inspirar, de inserir ar nos pulmões; entrada de ar nos pulmões."
"apogeu","Nível mais extremo de; alto grau; ápice, cume: chegou ao apogeu da montanha."
"aurélio","Nome Etrusco - Significado: Sol."
"empírico","Característica do que se baseia na experiência ou que resulta da observação sem considerar métodos científicos."
"premissa","Ideia que serve de base para a criação de um pensamento, opinião, ponto de vista, raciocínio; axioma, pressuposto."
"característica","O que difere uma pessoa de outra; qualidade: característica física."
